Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category
Cattle Colony,24.879310800000003,67.1987233,4ca21645e44d6dcb4dde0375,Anwar Baloch,24.869620169095626,67.20049934908631,BBQ Joint
Cattle Colony,24.879310800000003,67.1987233,4dbadad51e72b351ca89bc12,The Broast Restaurant,24.88453632411667,67.18299297742573,Fast Food Restaurant
Cattle Colony,24.879310800000003,67.1987233,4fe5a492e4b02e4293b64533,Student Biryani,24.884636244723296,67.18225982328107,Restaurant
Cattle Colony,24.879310800000003,67.1987233,4ec2103893ad36d7aa12a7c5,Taj Chaiye Ka Hotel,24.887061534981772,67.18305195774764,Tea Room
Cattle Colony,24.879310800000003,67.1987233,4ec785a0722e1437965e2e90,Liaquat Market,24.887071696449823,67.18306050945313,Market
Cattle Colony,24.879310800000003,67.1987233,4eb7efa5cc2143e82906c714,Jinnah Square,24.887056505021004,67.18305055179593,Road
Cattle Colony,24.879310800000003,67.1987233,4cde0f45e9272c0f8face13f,Bakra Mandi Malir,24.8870850045714,67.18303703319384,Market
Cattle Colony,24.879310800000003,67.1987233,4e7758f3aeb780be0b0c7c45,Mini Jet,24.88701054663531,67.18298715873979,Airport Terminal
Cattle Colony,24.879310800000003,67.1987233,51f3f92c498e7642eda7f55e,Rafah e Aam park,24.878340077236327,67.17982099636352,Park
Green Park City,24.857658800000003,67.2224746,4fa42f17121df8dabb10389a,Quaidabad,24.85521037894568,67.21171617507935,Bus Station
Green Park City,24.857658800000003,67.2224746,4fa43257121df8dabb109f8c,Karachi Bakers,24.855677660692795,67.21152305603027,Bakery
Green Park City,24.857658800000003,67.2224746,4fa42fc1121df8dabb104d8c,Landhi Station (Train),24.851608356228184,67.21208095550537,Platform
Gulshan-e-Hadeed,24.8699988,67.36005178758305,56c0a546cd10403d3ed64091,YUAN iceCream & Coffee,24.868594,67.352269,Coffee Shop
Gulshan-e-Hadeed,24.8699988,67.36005178758305,4e6205efa80951b3184f3f09,Phase 2 Gulshan-e-Hadeed,24.875790513603466,67.3434330504067,Outdoors & Recreation
Ibrahim Hyderi,24.79160805,67.14091644916715,4ead691a9adf5c72de4a395d,Powership,24.780105,67.143996,Pier
Ibrahim Hyderi,24.79160805,67.14091644916715,4f192fd2e4b023910b4e6632,Baloch majid football stadium,24.80710154289107,67.14870991102606,Football Stadium
Landhi Colony,24.852092600000002,67.18647170000001,578c5b46498e1129b8241cdf,Landhi Gymkhana Cricket Ground,24.839006273625373,67.19931453261854,Cricket Ground
Mujahid Colony,24.9005091,67.103604,50f1b94be4b09fca7bc907e8,14th Street Pizza,24.910596412754273,67.0966070127272,Pizza Place
Mujahid Colony,24.9005091,67.103604,55a7ba70498eb7d78de0bde1,California Pizza,24.907823508983466,67.10965717931518,Pizza Place
Mujahid Colony,24.9005091,67.103604,4d04f99328926ea81e616ec2,Shaan e Mughlia,24.90313879584476,67.1112996637946,Diner
Mujahid Colony,24.9005091,67.103604,57dc5bb6cd1077642463dbe2,GreenO Juice Bar,24.900660387594613,67.11673415255706,Juice Bar
Mujahid Colony,24.9005091,67.103604,51e1d275498ef13d2dfc2ec7,Khyber Shinwari,24.900789246941358,67.11346812032382,BBQ Joint
Mujahid Colony,24.9005091,67.103604,5645f5c3498e35cb0f7d87c1,MacDonald's Shell Askari 4,24.900266011873317,67.1167925558914,Fast Food Restaurant
Mujahid Colony,24.9005091,67.103604,4cbd9ef043ec6dcbf8fcb731,Al Fakhir Shisha Cafe,24.900929,67.112403,Hookah Bar
Mujahid Colony,24.9005091,67.103604,4b978b54f964a520200835e3,Hobnob,24.90609260934451,67.11090227885107,Bakery
Mujahid Colony,24.9005091,67.103604,4bc9cb6e0687ef3be175dacc,National Cricket Stadium,24.896285283358576,67.09209227783008,Cricket Ground
Mujahid Colony,24.9005091,67.103604,4b7bad6cf964a520a36a2fe3,Saima Mall,24.90210276882444,67.11504486558668,Shopping Mall
Mujahid Colony,24.9005091,67.103604,4dd24e9ee4cd7f7178c56481,Pizza Hut,24.901779512445223,67.1157372380062,Pizza Place
Mujahid Colony,24.9005091,67.103604,4e94661f46900e559d40e94e,Subway,24.907852758648254,67.11002954534813,Sandwich Place
Mujahid Colony,24.9005091,67.103604,4e89f485490142e8a3ddef03,Indulge,24.900980781028597,67.11548123469586,Restaurant
Mujahid Colony,24.9005091,67.103604,4bb38eb0a32876b04ce001fe,Shaheen Shanwari,24.897763094522606,67.11758378258689,Pakistani Restaurant
Mujahid Colony,24.9005091,67.103604,4b7ba547f964a520c1692fe3,KFC,24.901012387761366,67.11587105794774,Fast Food Restaurant
Mujahid Colony,24.9005091,67.103604,4d3c5b33457cb60cf1dbeea4,Lasania,24.90727164529709,67.1102331830886,Pakistani Restaurant
Mujahid Colony,24.9005091,67.103604,4e3edd65e4cdab9b93563c69,Chase Up,24.917044561711265,67.0963035716913,Department Store
Mujahid Colony,24.9005091,67.103604,502a5f1be4b07084b6b07cd5,Afridi Inn,24.900848662354132,67.11209990334697,Restaurant
Mujahid Colony,24.9005091,67.103604,4ec01c598b81127c0b5096ce,Toyota Eastern Motors,24.908038879336022,67.11071586290848,Auto Dealership
Mujahid Colony,24.9005091,67.103604,4c192c6e23a29c742cf21853,Pavilion End Club,24.913490142216503,67.10760354995728,Other Nightlife
Mujahid Colony,24.9005091,67.103604,4d445f3e4e5d370497b0ea93,Super Salateen Hotel,24.901007429871346,67.11169937620119,Afghan Restaurant
Mujahid Colony,24.9005091,67.103604,4cf686bb2f01594103945aa2,Balochistan Sajji,24.90815464029572,67.1194768091673,BBQ Joint
Mujahid Colony,24.9005091,67.103604,5b2562b547f8760039378b45,Nueplex Cinemas,24.89905041354767,67.11727871550555,Multiplex
